;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
2577;Bivalvia Redicirce;100;4;1;4;Bivalvia;Veneroida;0.126;49;Redicirce
2578;Bivalvia Redonia;8319;21;2;25;Bivalvia;Modiomorphoida;479;6;Redonia
2579;Bivalvia Regoria;0;1;3;3;Bivalvia;Mytiloida;85.8;41;Regoria
2580;Bivalvia Regulifer;7242;3;2;4;Bivalvia;Mytiloida;171.6;33;Regulifer
2581;Bivalvia Requienia;17869;7;8;19;Bivalvia;Hippuritoida;140.2;36;Requienia
2582;Bivalvia Resatrix;7016;18;2;21;Bivalvia;Veneroida;125;38;Resatrix
2583;Bivalvia Retroceramus;14006;9;3;15;Bivalvia;Pterioida;171.6;33;Retroceramus
2584;Bivalvia Retrotapes;563;6;1;6;Bivalvia;Veneroida;23.03;48;Retrotapes
2585;Bivalvia Rhabdopitaria;0;1;2;2;Bivalvia;Veneroida;48.6;45;Rhabdopitaria
2586;Bivalvia Rhaetavicula;8755;74;1;74;Bivalvia;Pterioida;216.5;29;Rhaetavicula
2587;Bivalvia Rhaetomegalodon;675;6;1;6;Bivalvia;Hippuritoida;216.5;29;Rhaetomegalodon
2588;Bivalvia Rhombopteria;9859;5;2;7;Bivalvia;Pectinoida;428.2;11;Rhombopteria
2589;Bivalvia Rhynchostreon;13500;17;6;31;Bivalvia;Pterioida;140.2;36;Rhynchostreon
2590;Bivalvia Rhytimya;1692;19;4;29;Bivalvia;Anomalodesmata;460.5;8;Rhytimya
2591;Bivalvia Rollierella;1853;17;4;23;Bivalvia;Veneroida;183.7;32;Rollierella
2592;Bivalvia Rollieria;0;12;5;14;Bivalvia;Nuculoida;199.6;30;NA
2593;Bivalvia Rossiodus;113;2;1;2;Bivalvia;Hippuritoida;228;28;Rossiodus
2594;Bivalvia Rostroperna;1701;20;2;21;Bivalvia;Pterioida;164.7;34;Rostroperna
2595;Bivalvia Roudairia;142;2;3;3;Bivalvia;Veneroida;93.5;41;Roudairia
2596;Bivalvia Rudicardium;2;4;2;7;Bivalvia;Veneroida;20.43;48;Rudicardium
2597;Bivalvia Ruditapes;2114;3;1;3;Bivalvia;Veneroida;5.33;49;Ruditapes
2598;Bivalvia Rugiclaraia;127;2;1;2;Bivalvia;Pectinoida;251;26;Rugiclaraia
2599;Bivalvia Rutitrigonia;9161;3;6;7;Bivalvia;Trigonioida;155.7;34;Rutitrigonia
2600;Bivalvia Ryderia;6947;4;3;7;Bivalvia;Nuculanoida;203.6;29;Ryderia
2601;Bivalvia Sabinia;5939;11;4;16;Bivalvia;Hippuritoida;99.6;40;Sabinia
2602;Bivalvia Saccella;19732;77;7;227;Bivalvia;Nuculanoida;70.6;43;Saccella
2603;Bivalvia Saccostrea;15681;10;2;12;Bivalvia;Pterioida;15.97;48;Saccostrea
2604;Bivalvia Saffordia;1208;16;1;16;Bivalvia;Modiomorphoida;460.5;8;Saffordia
2605;Bivalvia Salaputium;16327;7;3;10;Bivalvia;Carditoida;40.4;46;Salaputium
2606;Bivalvia Sanguinolaria;9135;5;5;15;Bivalvia;Veneroida;48.6;45;Sanguinolaria
2607;Bivalvia Sanguinolites;19096;34;17;125;Bivalvia;Pholadomyoida;445.6;9;Sanguinolites
2608;Bivalvia Sanoarca;570;31;1;31;Bivalvia;Arcoida;99.6;40;Sanoarca
2609;Bivalvia Sarepta;5348;3;3;7;Bivalvia;Nuculanoida;37.2;46;Sarepta
2610;Bivalvia Sauvagesia;13790;9;4;23;Bivalvia;Hippuritoida;99.6;40;Sauvagesia
2611;Bivalvia Sawkinsia;0;1;2;2;Bivalvia;Veneroida;37.2;46;Sawkinsia
2612;Bivalvia Saxidomus;10544;12;3;26;Bivalvia;Veneroida;33.9;47;Saxidomus
2613;Bivalvia Saxolucina;13385;31;5;67;Bivalvia;Veneroida;65.5;44;Saxolucina
2614;Bivalvia Scacchia;0;10;2;13;Bivalvia;Veneroida;15.97;48;Scacchia
2615;Bivalvia Scalaricardita;474;8;1;8;Bivalvia;Veneroida;15.97;48;Scalaricardita
2616;Bivalvia Scalpomactra;177;3;4;9;Bivalvia;Veneroida;48.6;45;Scalpomactra
2617;Bivalvia Scambula;4029;23;7;35;Bivalvia;Carditoida;83.5;42;Scambula
2618;Bivalvia Scaphellina;7062;3;2;4;Bivalvia;Trigonioida;279.5;23;Scaphellina
2619;Bivalvia Scaphotrigonia;0;1;3;2;Bivalvia;Trigonioida;183;32;Scaphotrigonia
2620;Bivalvia Schafhaeutlia;15570;30;5;89;Bivalvia;Veneroida;245;27;Schafhaeutlia
2621;Bivalvia Schedocardia;5024;7;1;7;Bivalvia;Veneroida;40.4;46;Schedocardia
2622;Bivalvia Schiosia;1590;3;1;3;Bivalvia;Hippuritoida;99.6;40;Schiosia
2623;Bivalvia Schizodus;14965;32;14;168;Bivalvia;Trigonioida;418.1;12;Schizodus
2624;Bivalvia Scissula;1552;15;2;19;Bivalvia;Veneroida;23.03;48;Scissula
2625;Bivalvia Scissulina;0;5;1;5;Bivalvia;Veneroida;0.126;49;Scissulina
2626;Bivalvia Scittila;9104;3;1;3;Bivalvia;Veneroida;125;38;Scittila
2627;Bivalvia Scrobiculabra;0;2;1;2;Bivalvia;Veneroida;65.5;44;Scrobiculabra
2628;Bivalvia Scrobicularia;10651;6;1;6;Bivalvia;Veneroida;11.61;49;Scrobicularia
2629;Bivalvia Scutarcopagia;8793;4;1;4;Bivalvia;Veneroida;11.61;49;Scutarcopagia
2630;Bivalvia Sectipecten;0;1;3;2;Bivalvia;Pterioida;28.4;47;Sectipecten
2631;Bivalvia Securella;8234;17;3;20;Bivalvia;Veneroida;28.4;47;Securella
2632;Bivalvia Sedgwickia;5401;4;9;10;Bivalvia;Pholadomyoida;422.9;11;Sedgwickia
2633;Bivalvia Seebachia;1720;4;2;5;Bivalvia;Carditoida;164.7;34;Seebachia
2634;Bivalvia Selenimyalina;34;5;2;6;Bivalvia;Pterioida;326.4;19;Selenimyalina
2635;Bivalvia Sellaea;2548;4;1;4;Bivalvia;Hippuritoida;112;39;Sellaea
2636;Bivalvia Semelangulus;0;3;3;5;Bivalvia;Veneroida;28.4;47;Semelangulus
2637;Bivalvia Semele;19080;87;6;180;Bivalvia;Veneroida;65.5;44;Semele
2638;Bivalvia Semelina;2367;8;3;12;Bivalvia;Veneroida;33.9;47;Semelina
2639;Bivalvia Semeloidea;0;1;4;2;Bivalvia;Veneroida;55.8;45;Semeloidea
2640;Bivalvia Semimodiola;124;4;2;5;Bivalvia;Mytiloida;65.5;44;Semimodiola
2641;Bivalvia Semipallium;3745;14;4;21;Bivalvia;Pectinoida;37.2;46;Semipallium
2642;Bivalvia Semipecten;0;4;1;4;Bivalvia;Pectinoida;0.126;49;Semipecten
2643;Bivalvia Senis;1537;18;6;26;Bivalvia;Veneroida;125;38;Senis
2644;Bivalvia Septifer;17531;11;23;56;Bivalvia;Mytiloida;245;27;Septifer
2645;Bivalvia Septihoernesia;292;19;1;19;Bivalvia;Pterioida;228;28;Septihoernesia
2646;Bivalvia Septimyalina;5224;32;6;73;Bivalvia;Pterioida;345;18;Septimyalina
2647;Bivalvia Septocardia;8105;41;2;54;Bivalvia;Veneroida;228;28;Septocardia
2648;Bivalvia Serania;308;8;1;8;Bivalvia;Limoida;216.5;29;Serania
2649;Bivalvia Sergipia;6015;2;1;2;Bivalvia;Pterioida;93.5;41;Sergipia
2650;Bivalvia Serripecten;5341;26;6;54;Bivalvia;Pectinoida;61.7;44;Serripecten
2651;Bivalvia Serripes;18960;43;2;53;Bivalvia;Veneroida;23.03;48;Serripes
2652;Bivalvia Sexta;1420;6;1;6;Bivalvia;Veneroida;99.6;40;Sexta
2653;Bivalvia Seymourtula;5739;6;1;6;Bivalvia;Limoida;70.6;43;Seymourtula
2654;Bivalvia Sheldonella;1753;4;1;4;Bivalvia;Arcoida;11.61;49;Sheldonella
2655;Bivalvia Shikamaia;4319;3;1;3;Bivalvia;Pterioida;268;24;Shikamaia
2656;Bivalvia Sibirinka;7432;4;1;4;Bivalvia;Antipleuroida;443.7;10;Sibirinka
2657;Bivalvia Siliqua;18663;36;9;53;Bivalvia;Veneroida;93.5;41;Siliqua
2658;Bivalvia Silurina;2679;4;1;4;Bivalvia;Antipleuroida;418.1;12;Silurina
2659;Bivalvia Similiconcha;0;1;2;2;Bivalvia;Nuculoida;409.1;13;Similiconcha
2660;Bivalvia Similipecten;301;3;2;4;Bivalvia;Pectinoida;15.97;48;Similipecten
2661;Bivalvia Similodonta;18062;40;5;45;Bivalvia;Nuculoida;460.5;7;Similodonta
2662;Bivalvia Sinbadiella;54;2;1;2;Bivalvia;Veneroida;251;26;Sinbadiella
2663;Bivalvia Sinodia;13;2;5;3;Bivalvia;Veneroida;48.6;45;Sinodia
2664;Bivalvia Sinodora;157;4;2;6;Bivalvia;Pholadomyoida;409.1;13;Sinodora
2665;Bivalvia Sinonia;464;8;1;8;Bivalvia;Veneroida;99.6;40;Sinonia
2666;Bivalvia Sinopsammobia;0;2;1;2;Bivalvia;Veneroida;125;38;Sinopsammobia
2667;Bivalvia Siratoria;879;4;1;4;Bivalvia;Veneroida;15.97;48;Siratoria
2668;Bivalvia Sita;251;3;3;5;Bivalvia;Veneroida;70.6;43;Sita
2669;Bivalvia Slava;10037;14;1;14;Bivalvia;Praecardioida;436;10;Slava
2670;Bivalvia Slavinka;1287;9;1;9;Bivalvia;Praecardioida;428.2;11;Slavinka
2671;Bivalvia Sluha;48;3;2;4;Bivalvia;Nuculanoida;449.7;8;Sluha
2672;Bivalvia Snoopyia;5921;12;1;12;Bivalvia;Praecardioida;418.7;11;Snoopyia
2673;Bivalvia Sokolowia;125;2;2;3;Bivalvia;Pterioida;55.8;45;Sokolowia
2674;Bivalvia Solamen;8485;3;2;4;Bivalvia;Mytiloida;33.9;47;Solamen
2675;Bivalvia Solecardia;6001;3;7;6;Bivalvia;Veneroida;70.6;43;Solecardia
2676;Bivalvia Solecurtus;19696;32;16;71;Bivalvia;Veneroida;155.7;34;Solecurtus
2677;Bivalvia Solemya;18539;18;39;104;Bivalvia;Solemyoida;421.3;11;Solemya
2678;Bivalvia Solen;17254;36;31;142;Bivalvia;Veneroida;326.4;19;Solen
2679;Bivalvia Solena;16014;39;6;98;Bivalvia;Veneroida;65.5;44;Solena
2680;Bivalvia Solenomorpha;4121;8;16;19;Bivalvia;Pholadomyoida;409.1;13;Solenomorpha
2681;Bivalvia Soletellina;235;2;5;4;Bivalvia;Veneroida;48.6;45;Soletellina
2682;Bivalvia Solidicorbula;221;6;2;7;Bivalvia;Myoida;15.97;48;Solidicorbula
2683;Bivalvia Solyma;10657;71;4;96;Bivalvia;Veneroida;99.6;40;Solyma
2684;Bivalvia Sourimis;2108;6;1;6;Bivalvia;Veneroida;70.6;43;Sourimis
2685;Bivalvia Sowerbya;7968;32;1;32;Bivalvia;Veneroida;164.7;34;Sowerbya
2686;Bivalvia Spanila;1561;24;2;26;Bivalvia;Antipleuroida;426.2;11;Spanila
2687;Bivalvia Spaniodontella;4034;23;3;29;Bivalvia;Veneroida;28.4;47;Spaniodontella
2688;Bivalvia Spathella;14405;10;7;27;Bivalvia;Modiomorphoida;409.1;13;Spathella
2689;Bivalvia Spathelopsis;9;2;1;2;Bivalvia;Nuculanoida;326.4;19;Spathelopsis
2690;Bivalvia Spathochlamys;1722;5;1;5;Bivalvia;Pectinoida;11.61;49;Spathochlamys
2691;Bivalvia Spengleria;0;1;16;2;Bivalvia;Veneroida;161.2;34;Spengleria
2692;Bivalvia Sphaera;11492;8;14;23;Bivalvia;Veneroida;245;27;Sphaera
2693;Bivalvia Sphaeriola;14587;7;5;15;Bivalvia;Myoida;199.6;30;Sphaeriola
2694;Bivalvia Sphaerucaprina;1590;5;1;5;Bivalvia;Hippuritoida;99.6;40;Sphaerucaprina
2695;Bivalvia Sphaerulites;610;4;3;9;Bivalvia;Hippuritoida;112;39;Sphaerulites
2696;Bivalvia Sphenia;2025;9;6;31;Bivalvia;Myoida;65.5;44;Sphenia
2697;Bivalvia Spheniopsis;7259;12;3;16;Bivalvia;Myoida;37.2;46;Spheniopsis
2698;Bivalvia Sphenotomorpha;2217;4;3;6;Bivalvia;Modiomorphoida;428.2;11;Sphenotomorpha
2699;Bivalvia Sphenotrigonia;18;7;2;8;Bivalvia;Trigonioida;125;38;Sphenotrigonia
2700;Bivalvia Sphenotus;1010;4;2;6;Bivalvia;Pholadomyoida;345;18;Sphenotus
2701;Bivalvia Spineilo;18900;12;6;16;Bivalvia;Nuculanoida;65.5;44;Spineilo
2702;Bivalvia Spissatella;9857;18;6;39;Bivalvia;Carditoida;65.5;44;Spissatella
2703;Bivalvia Spisula;18646;130;6;424;Bivalvia;Veneroida;65.5;44;Spisula
2704;Bivalvia Spondylopecten;7217;16;4;30;Bivalvia;Pterioida;183.7;32;Spondylopecten
2705;Bivalvia Spondylus;19957;101;17;424;Bivalvia;Pectinoida;171.6;33;Spondylus
2706;Bivalvia Sportella;16932;13;6;37;Bivalvia;Veneroida;65.5;44;Sportella
2707;Bivalvia Spyridoceramus;13028;11;1;11;Bivalvia;Pterioida;70.6;43;Spyridoceramus
2708;Bivalvia Squamuliferipecten;14;7;2;8;Bivalvia;Pectinoida;290;22;Squamuliferipecten
2709;Bivalvia Standella;11262;5;5;7;Bivalvia;Veneroida;55.8;45;Standella
2710;Bivalvia Stegoconcha;7651;17;4;20;Bivalvia;Pterioida;167.7;33;Stegoconcha
2711;Bivalvia Steinmanella;6094;22;8;49;Bivalvia;Trigonioida;150.8;35;Steinmanella
2712;Bivalvia Stewartia;1442;20;2;35;Bivalvia;Veneroida;23.03;48;Stewartia
2713;Bivalvia Stirpulina;15357;8;4;11;Bivalvia;Anomalodesmata;70.6;43;Stirpulina
2714;Bivalvia Stralopecten;98;2;1;2;Bivalvia;Pterioida;3.6;49;Stralopecten
2715;Bivalvia Streblochondria;13890;15;11;59;Bivalvia;Pectinoida;376.1;16;Streblochondria
2716;Bivalvia Streblopteria;18231;43;10;119;Bivalvia;Pectinoida;376.1;16;Streblopteria
2717;Bivalvia Striarca;16646;223;8;305;Bivalvia;Arcoida;83.5;42;Striarca
2718;Bivalvia Strigilla;19801;36;3;48;Bivalvia;Veneroida;28.4;47;Strigilla
2719;Bivalvia Striostrea;387;2;5;6;Bivalvia;Pterioida;65.5;44;Striostrea
2720;Bivalvia Stutchburia;19694;10;4;27;Bivalvia;Pholadomyoida;318.1;20;Stutchburia
2721;Bivalvia Subvenericardia;11523;7;1;7;Bivalvia;Veneroida;70.6;43;Subvenericardia
2722;Bivalvia Sueroa;89;4;1;4;Bivalvia;Pholadomyoida;318.1;20;Sueroa
2723;Bivalvia Sunetta;6645;3;2;4;Bivalvia;Veneroida;33.9;47;Sunetta
2724;Bivalvia Suria;0;2;1;2;Bivalvia;Nuculoida;479;6;Suria
2725;Bivalvia Syncyclonema;17100;253;28;287;Bivalvia;Pectinoida;360.7;17;Syncyclonema
2726;Bivalvia Taeniodon;0;3;1;3;Bivalvia;NA;203.6;29;Taeniodon
2727;Bivalvia Tagelus;8497;67;4;90;Bivalvia;Veneroida;37.2;46;Tagelus
2728;Bivalvia Talochlamys;4558;10;6;22;Bivalvia;Pectinoida;65.5;44;Talochlamys
2729;Bivalvia Tampsia;1892;4;1;4;Bivalvia;Hippuritoida;70.6;43;Tampsia
2730;Bivalvia Tanaodon;3914;4;1;4;Bivalvia;Actinodontoida;391.9;14;Tanaodon
2731;Bivalvia Tancredia;17842;29;18;113;Bivalvia;Veneroida;245;27;Tancredia
2732;Bivalvia Tancrediopsis;14354;12;8;22;Bivalvia;Nuculoida;466;7;Tancrediopsis
2733;Bivalvia Tapes;14576;32;9;49;Bivalvia;Veneroida;93.5;41;Tapes
2734;Bivalvia Taras;18615;18;6;38;Bivalvia;Veneroida;61.7;44;Taras
2735;Bivalvia Tawera;13429;11;4;22;Bivalvia;Veneroida;40.4;46;Tawera
2736;Bivalvia Tellidora;6002;24;7;25;Bivalvia;Veneroida;70.6;43;Tellidora
2737;Bivalvia Tellidorella;66;2;3;3;Bivalvia;Carditoida;33.9;47;Tellidorella
2738;Bivalvia Tellina;19916;116;23;557;Bivalvia;Veneroida;245;27;Tellina
2739;Bivalvia Tellinella;19228;15;7;49;Bivalvia;Veneroida;70.6;43;Tellinella
2740;Bivalvia Tellinimera;16067;87;3;97;Bivalvia;Veneroida;83.5;42;Tellinimera
2741;Bivalvia Tellinopsis;281;6;1;6;Bivalvia;Nuculoida;388.1;14;Tellinopsis
2742;Bivalvia Tellurimya;1327;9;1;9;Bivalvia;Veneroida;164.7;34;Tellurimya
2743;Bivalvia Temnoconcha;2561;11;1;11;Bivalvia;Veneroida;11.61;49;Temnoconcha
2744;Bivalvia Tendagurium;4270;14;1;14;Bivalvia;Veneroida;164.7;34;Tendagurium
2745;Bivalvia Tenea;12453;93;4;106;Bivalvia;Veneroida;99.6;40;Tenea
2746;Bivalvia Tenka;803;4;1;4;Bivalvia;Antipleuroida;422.9;11;Tenka
2747;Bivalvia Tenuicorbula;11937;8;4;16;Bivalvia;Myoida;40.4;46;Tenuicorbula
2748;Bivalvia Tenuimactra;250;4;1;4;Bivalvia;Veneroida;55.8;45;Tenuimactra
2749;Bivalvia Tenuipteria;11740;39;1;39;Bivalvia;Pterioida;70.6;43;Tenuipteria
2750;Bivalvia Tepeyacia;1658;2;2;3;Bivalvia;Hippuritoida;112;39;Tepeyacia
2751;Bivalvia Terebrimya;1374;6;2;8;Bivalvia;Myoida;112;39;Terebrimya
2752;Bivalvia Teredina;16631;3;8;8;Bivalvia;Myoida;80.9;42;Teredina
2753;Bivalvia Teredo;19121;24;14;97;Bivalvia;Myoida;145.5;36;Teredo
2754;Bivalvia Terquemia;8684;12;3;15;Bivalvia;Pterioida;228;28;Terquemia
2755;Bivalvia Tetinka;163;3;1;3;Bivalvia;Antipleuroida;422.9;11;Tetinka
2756;Bivalvia Tetoria;38;3;4;4;Bivalvia;Veneroida;150.8;35;Tetoria
2757;Bivalvia Tetorimya;15040;7;2;8;Bivalvia;Anomalodesmata;171.6;33;Tetorimya
2758;Bivalvia Texicaprina;1014;3;1;3;Bivalvia;Hippuritoida;112;39;Texicaprina
2759;Bivalvia Texigryphaea;882;5;1;5;Bivalvia;Pterioida;112;39;Texigryphaea
2760;Bivalvia Thetironia;184;11;5;17;Bivalvia;Veneroida;140.2;36;Thetironia
2761;Bivalvia Thetis;1451;7;8;16;Bivalvia;Veneroida;140.2;36;Thetis
2762;Bivalvia Thracia;19060;114;22;392;Bivalvia;Anomalodesmata;228;28;Thracia
2763;Bivalvia Thyasira;19696;15;9;77;Bivalvia;Veneroida;89.3;41;Thyasira
2764;Bivalvia Thyrastylon;853;9;1;9;Bivalvia;Hippuritoida;70.6;43;Thyrastylon
2765;Bivalvia Timoclea;19523;55;2;67;Bivalvia;Veneroida;23.03;48;Timoclea
2766;Bivalvia Timothynus;222;6;2;9;Bivalvia;Veneroida;33.9;47;Timothynus
2767;Bivalvia Tindaria;6838;5;1;5;Bivalvia;Nuculanoida;5.33;49;Tindaria
2768;Bivalvia Titanosarcolites;2355;17;1;17;Bivalvia;Hippuritoida;70.6;43;Titanosarcolites
2769;Bivalvia Tivela;19323;21;5;44;Bivalvia;Veneroida;55.8;45;Tivela
2770;Bivalvia Tivelina;7415;31;4;35;Bivalvia;Veneroida;61.7;44;Tivelina
2771;Bivalvia Tiza;215;9;1;9;Bivalvia;Myoida;33.9;47;Tiza
2772;Bivalvia Torastarte;0;2;2;3;Bivalvia;Carditoida;203.6;29;Torastarte
2773;Bivalvia Torreites;12479;3;2;6;Bivalvia;Hippuritoida;83.5;42;Torreites
2774;Bivalvia Tortarctica;72;3;2;5;Bivalvia;Veneroida;125;38;Tortarctica
2775;Bivalvia Tosapecten;12406;22;2;28;Bivalvia;Pectinoida;228;28;Tosapecten
2776;Bivalvia Toucasia;12806;17;4;37;Bivalvia;Hippuritoida;136.4;37;Toucasia
2777;Bivalvia Towapteria;8351;3;2;6;Bivalvia;Pterioida;260.5;25;Towapteria
2778;Bivalvia Trabeculatia;0;1;2;2;Bivalvia;Pterioida;265;24;Trabeculatia
2779;Bivalvia Trachycardium;19745;196;11;502;Bivalvia;Veneroida;112;39;Trachycardium
2780;Bivalvia Transenella;6924;14;2;22;Bivalvia;Veneroida;23.03;48;Transenella
2781;Bivalvia Transennella;7271;39;6;44;Bivalvia;Veneroida;61.7;44;Transennella
2782;Bivalvia Trapezicardita;178;2;1;2;Bivalvia;Carditoida;125;38;Trapezicardita
2783;Bivalvia Trapezium;16918;6;14;18;Bivalvia;Veneroida;145.5;36;Trapezium
2784;Bivalvia Trautscholdia;712;5;1;5;Bivalvia;Veneroida;164.7;34;Trautscholdia
2785;Bivalvia Tresus;1875;21;1;21;Bivalvia;Veneroida;11.61;49;Tresus
2786;Bivalvia Triadomegalodon;1173;13;1;13;Bivalvia;Hippuritoida;216.5;29;Triadomegalodon
2787;Bivalvia Triaphorus;9419;3;3;6;Bivalvia;Pholadomyoida;237;27;Triaphorus
2788;Bivalvia Trichites;8303;56;5;83;Bivalvia;Pterioida;183.7;32;Trichites
2789;Bivalvia Trichomya;0;1;2;2;Bivalvia;Mytiloida;19;48;Trichomya
2790;Bivalvia Tridacna;14329;23;2;24;Bivalvia;Veneroida;23.03;48;Tridacna
2791;Bivalvia Trigonarca;16183;22;5;45;Bivalvia;Arcoida;112;39;Trigonarca
2792;Bivalvia Trigonastarte;5698;4;1;4;Bivalvia;Carditoida;164.7;34;Trigonastarte
2793;Bivalvia Trigonia;18414;169;15;446;Bivalvia;Trigonioida;216.5;29;Trigonia
2794;Bivalvia Trigoniidae;1693;2;1;2;Bivalvia;Trigonioida;70.6;43;Trigoniidae
2795;Bivalvia Trigoniocardia;4045;83;4;125;Bivalvia;Veneroida;37.2;46;Trigoniocardia
2796;Bivalvia Trigonioides;67;2;1;2;Bivalvia;Trigonioida;99.6;40;Trigonioides
2797;Bivalvia Trigonocallista;15960;6;3;13;Bivalvia;Veneroida;93.5;41;Trigonocallista
2798;Bivalvia Trigonodesma;426;7;1;7;Bivalvia;Arcoida;55.8;45;Trigonodesma
2799;Bivalvia Trigonodus;5415;22;4;31;Bivalvia;Unionoida;249.7;26;Trigonodus
2800;Bivalvia Trigonopis;47;3;2;4;Bivalvia;Carditoida;167.7;33;Trigonopis
2801;Bivalvia Trigonucula;597;5;4;9;Bivalvia;Nuculoida;249.7;26;Trigonucula
2802;Bivalvia Trinacria;8097;9;7;31;Bivalvia;Arcoida;83.5;42;Trinacria
2803;Bivalvia Trisidos;8186;12;3;26;Bivalvia;Arcoida;33.9;47;Trisidos
2804;Bivalvia Trochoceramus;16515;20;2;21;Bivalvia;Pterioida;83.5;42;Trochoceramus
2805;Bivalvia Tucetona;16105;77;4;91;Bivalvia;Arcoida;37.2;46;Tucetona
2806;Bivalvia Turbitrigonia;1310;2;2;3;Bivalvia;Trigonioida;150.8;35;Turbitrigonia
2807;Bivalvia Turia;61;6;4;10;Bivalvia;Veneroida;48.6;45;Turia
2808;Bivalvia Turnus;0;3;4;4;Bivalvia;Myoida;164.7;34;Turnus
2809;Bivalvia Tutcheria;14045;13;3;20;Bivalvia;Carditoida;216.5;29;Tutcheria
2810;Bivalvia Ucumaropsis;112;2;1;2;Bivalvia;Anomalodesmata;479;6;Ucumaropsis
2811;Bivalvia Uddenia;7052;18;2;20;Bivalvia;Carditoida;83.5;42;Uddenia
2812;Bivalvia Umbrostrea;307;24;1;24;Bivalvia;Pterioida;216.5;29;Umbrostrea
2813;Bivalvia Undulatula;0;2;1;2;Bivalvia;Unionoida;164.7;34;Undulatula
2814;Bivalvia Undulomya;7267;2;4;3;Bivalvia;Pholadomyoida;318.1;20;Undulomya
2815;Bivalvia Unicardium;9171;27;17;80;Bivalvia;Veneroida;245;27;Unicardium
2816;Bivalvia Unio;9073;9;17;30;Bivalvia;Unionoida;167.7;33;Unio
2817;Bivalvia Unionites;14691;71;5;107;Bivalvia;Unionoida;255;25;Unionites
2818;Bivalvia Unklesbyella;236;2;2;4;Bivalvia;Pholadomyoida;318.1;20;Unklesbyella
2819;Bivalvia Ursirivus;571;30;1;30;Bivalvia;Myoida;99.6;40;Ursirivus
2820;Bivalvia Vaccinites;13551;42;3;76;Bivalvia;Hippuritoida;93.5;41;Vaccinites
2821;Bivalvia Vacunella;18890;6;2;12;Bivalvia;Pholadomyoida;284;23;Vacunella
2822;Bivalvia Vanuxemia;6240;45;2;50;Bivalvia;Arcoida;460.5;8;Vanuxemia
2823;Bivalvia Varicardium;355;3;1;3;Bivalvia;Veneroida;23.03;48;Varicardium
2824;Bivalvia Varicorbula;18107;88;10;226;Bivalvia;Myoida;99.6;40;Varicorbula
2825;Bivalvia Varinucula;0;2;3;3;Bivalvia;Nuculoida;37.2;46;Varinucula
2826;Bivalvia Vaugonia;18400;26;6;84;Bivalvia;Trigonioida;199.6;30;Vaugonia
2827;Bivalvia Vautrinia;2575;3;1;3;Bivalvia;Hippuritoida;70.6;43;Vautrinia
2828;Bivalvia Velata;0;1;8;4;Bivalvia;NA;245;27;Velata
2829;Bivalvia Venerella;49;3;2;4;Bivalvia;Veneroida;48.6;45;Venerella
2830;Bivalvia Venericardia;19612;192;14;682;Bivalvia;Carditoida;140.2;36;Venericardia
2831;Bivalvia Venericyprina;0;7;1;7;Bivalvia;Veneroida;155.7;34;Venericyprina
2832;Bivalvia Venerupis;15216;17;13;19;Bivalvia;Veneroida;136.4;37;Venerupis
2833;Bivalvia Venidia;93;2;1;2;Bivalvia;Veneroida;37.2;46;Venidia
2834;Bivalvia Veniella;16089;239;7;298;Bivalvia;Veneroida;125;38;Veniella
2835;Bivalvia Venilicardia;8615;9;6;19;Bivalvia;Veneroida;125;38;Venilicardia
2836;Bivalvia Ventricolaria;19510;24;3;46;Bivalvia;Veneroida;33.9;47;Ventricolaria
2837;Bivalvia Venus;18217;42;14;109;Bivalvia;Veneroida;140.2;36;Venus
2838;Bivalvia Vepricardium;1211;3;8;10;Bivalvia;Veneroida;83.5;42;Vepricardium
2839;Bivalvia Veremolpa;476;6;2;10;Bivalvia;Veneroida;15.97;48;Veremolpa
2840;Bivalvia Verticordia;16757;23;7;75;Bivalvia;Anomalodesmata;70.6;43;Verticordia
2841;Bivalvia Vertipecten;440;15;2;19;Bivalvia;Pectinoida;28.4;47;Vertipecten
2842;Bivalvia Vertumnia;0;2;3;3;Bivalvia;Pterioida;388.1;14;Vertumnia
2843;Bivalvia Vetericardiella;7077;119;3;130;Bivalvia;Carditoida;83.5;42;Vetericardiella
2844;Bivalvia Vetupraeca;1507;2;1;2;Bivalvia;Praecardioida;376.1;16;Vetupraeca
2845;Bivalvia Victoripecten;1192;2;3;3;Bivalvia;Pectinoida;37.2;46;Victoripecten
2846;Bivalvia Vietnamicardium;330;7;1;7;Bivalvia;Veneroida;216.5;29;Vietnamicardium
2847;Bivalvia Villorita;207;11;1;11;Bivalvia;Veneroida;33.9;47;Villorita
2848;Bivalvia Vlasta;0;2;5;3;Bivalvia;Modiomorphoida;457.5;8;Vlasta
2849;Bivalvia Vnigripecten;593;2;2;3;Bivalvia;Pectinoida;279.5;23;Vnigripecten
2850;Bivalvia Vokesula;1475;18;3;34;Bivalvia;Myoida;61.7;44;Vokesula
2851;Bivalvia Volsella;13641;12;21;43;Bivalvia;Mytiloida;216.5;29;Volsella
2852;Bivalvia Volsellina;1034;3;5;11;Bivalvia;Mytiloida;312;20;Volsellina
2853;Bivalvia Volupia;147;2;1;2;Bivalvia;Veneroida;40.4;46;Volupia
2854;Bivalvia Volviceramus;6224;11;1;11;Bivalvia;Pterioida;89.3;41;Volviceramus
