;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
6370;Gastropoda Cymatosyrinx;3761;24;4;25;Gastropoda;Neogastropoda;37.2;46;Cymatosyrinx
6371;Gastropoda Cymbiola;5509;8;2;9;Gastropoda;Neogastropoda;15.97;48;Cymbiola
6372;Gastropoda Cymbium;12522;5;5;6;Gastropoda;Neogastropoda;55.8;45;Cymbium
6373;Gastropoda Cymbovula;30;2;1;2;Gastropoda;NA;0.126;49;Cymbovula
6374;Gastropoda Cymbularia;2330;5;6;17;Gastropoda;Bellerophontida;479;6;Cymbularia
6375;Gastropoda Cymia;19026;19;4;31;Gastropoda;Neogastropoda;37.2;46;Cymia
6376;Gastropoda Cynisca;0;1;2;2;Gastropoda;NA;15.97;48;Cynisca
6377;Gastropoda Cyphoma;1727;5;1;5;Gastropoda;NA;3.6;49;Cyphoma
6378;Gastropoda Cypraea;19712;96;9;200;Gastropoda;NA;112;39;Cypraea
6379;Gastropoda Cypraecassis;15359;19;36;24;Gastropoda;NA;391.9;14;Cypraecassis
6380;Gastropoda Cypraedia;16066;8;3;15;Gastropoda;NA;65.5;44;Cypraedia
6381;Gastropoda Cypraeolina;929;9;2;11;Gastropoda;Neogastropoda;23.03;48;Cypraeolina
6382;Gastropoda Cypraeorbis;1903;9;5;23;Gastropoda;NA;55.8;45;Cypraeorbis
6383;Gastropoda Cyrbasia;14254;6;2;8;Gastropoda;NA;23.03;48;Cyrbasia
6384;Gastropoda Cyrtochetus;6396;7;5;12;Gastropoda;Neotaenioglossa;55.8;45;Cyrtochetus
6385;Gastropoda Cyrtospira;6186;9;5;17;Gastropoda;NA;460.5;7;Cyrtospira
6386;Gastropoda Cyrtostropha;6179;26;4;30;Gastropoda;Murchisoniina;460.5;8;Cyrtostropha
6387;Gastropoda Cyrtulus;4070;8;2;11;Gastropoda;Neotaenioglossa;33.9;47;Cyrtulus
6388;Gastropoda Cythara;17705;8;4;11;Gastropoda;Neogastropoda;37.2;46;Cythara
6389;Gastropoda Daidia;4753;5;2;7;Gastropoda;Murchisoniina;460.5;8;Daidia
6390;Gastropoda Dalium;106;3;1;3;Gastropoda;NA;11.61;49;Dalium
6391;Gastropoda Damesia;26;3;2;4;Gastropoda;NA;83.5;42;Damesia
6392;Gastropoda Danilia;5279;2;6;6;Gastropoda;NA;65.5;44;Danilia
6393;Gastropoda Daphnella;4679;8;4;14;Gastropoda;Neogastropoda;40.4;46;Daphnella
